[(12.5, 7), (18.7, 16.2), (2.0, 12.0), (12.5, 11.3)]
[(51, 67), (48, 77), (12, 33), (57, 28)]
[(5, -15), (8, -16), (6, -20), (10, -14)]
[(2, 8), (4, 6), (4, 2), (12, 2)]
[(4, 2), (26, 12), (2, 8), (15.0, 10.0)]
[(15, 10), (-2, 4), (-10, 15), (-2, 6)]
[(4, 6), (8, 10), (5, 12), (5, 15)]
[(12, 12), (6, 12), (4, 6), (4, 4)]
[(12, 4), (12, 12), (4, 12), (4, 4)]
[(15, 2.5), (-5, 5), (5, 0), (20, 0)]
[(11, -10), (15, -5), (5, -15), (20, -10)]
[(20, -10), (20, -5), (10, -15), (25, -10)]
[(-17, -20), (-15, -30), (5, -10), (-20, -15)]
[(-20, 15), (-17, 20), (-30, 15), (5, 10)]
[(-15, 0), (-20, -15), (-17, -20), (15, -10)]
[(1.65, -6.4), (-4.2, -10.25), (0.67, -6.8), (-6.47, -8.4)]
[(4, -14), (16, -14), (8, -13), (10, -10)]
[(4, 4), (8, 6), (12, 4), (8, 8)]
[(18, 6), (20, 12), (14, 8), (14, 6)]
[(30, 6), (30, 10), (14, 8), (22, 8)]
[(10, 6), (18, 6), (18, 4), (26, 8)]
[(8, -12), (16, -12), (16, -14), (24, -10)]
[(4, -6), (12, -6), (20, -2), (4, -4)]
[(4, -8), (12, -8), (20, -12), (12, -6)]
[(24, -12), (24, -10), (8, -8), (10, -16)]
[(24, -10), (14, -14), (10, -16), (24, -12)]
[(-10, -20), (0, -25), (8, -18), (6, -18)]
[(-22, -6.03), (-28.21, -6.01), (-18.33, -7.76), (-21.2, -4.91)]
[(-30.31, -4.31), (-27.4, -4.58), (-27.89, -3.57), (-27.33, -3.21)]
[(-30.39, -4.45), (-27.4, -3.3), (-30.01, -2.99), (-30, -1.3)]
[(3, 3), (7, 1), (5, 3), (7, 4)]
[(7, 4), (8, 3), (7, 1), (9, 3)]
[(4, -4), (8, -6), (6, -4), (8, -3)]
[(-2, -2), (4, -4), (-2, -6), (6, -4)]
[(-2, -2), (0, -4), (-2, -6), (6, -2)]
[(10, 6), (20, 4), (20, 10), (10, 10)]
[(20, 4), (20, 9), (18, 6), (14, 4)]
[(18, 6), (14, 4), (20, 4), (20, 9)]
[(14, 4), (20, 4), (20, 9), (18, 6)]
[(20, 9), (18, 6), (14, 4), (20, 4)]
[(7, 2), (7, 4), (2, 4), (2, 3)]
[(7, 2), (6, 4), (3, 4), (2, 3)]
[(7, 2), (4, 3), (4, 4), (2, 3)]
[(4, 4), (2, 3), (7, 2), (4, 3)]
[(2, 4), (2, 3), (7, 2), (7, 4)]
[(2, 2), (7, 2), (7, 4), (2, 4)]
[(2, 2), (7, 2), (2, 6), (2, 4)]
[(6, 6), (5, 4), (7, 7), (2, 6)]
[(6, 6), (7, 4), (7, 7), (2, 6)]
[(12.5, 11.3), (12.5, 7), (18.7, 16.2), (2, 12)]
[(12.5, 11.3), (10.5, 7), (18.7, 16.2), (2, 12)]
[(9.35, 12.1), (3.99, 16.03), (8.98, 3.02), (16.1, 17.1)]
[(13.9, 6.21), (7.89, 17.1), (3.02, 3.01), (7.7, 9.01)]
[(6.99, 17.12), (7.303, 11.37), (3.43, 5.98), (16.02, 10.05)]
[(5, 5.5), (15, 10), (11, 18), (8, 16)]
[(14, 5), (17, 15), (7, 15), (4, 5)]
[(15, 15), (5, 15), (5, 5), (15, 5)]
[(10, 4), (16, 10), (10, 17.5), (6, 10)]
[(-6, 3), (-7, 2), (-3, 3), (-7, 4)]
[(4, -4), (8, -6), (6, -4), (8, -3)]
[(10, 4), (10, 15), (4, 15), (4, 4)]
[(12, -10), (4, -8), (2, -2), (2, -8)]
[(2, -2), (2, -8), (12, -10), (4, -8)]
[(4, -8), (2, -2), (2, -8), (12, -10)]
[(2, -8), (12, -10), (4, -8), (2, -2)]
[(10, -6), (12, -10), (12, -6), (2, -2)]
[(2, -2), (10, -6), (12, -10), (12, -6)]
[(12, -6), (2, -2), (10, -6), (12, -10)]
[(12, -10), (12, -6), (2, -2), (10, -6)]
[(12, -2), (2, -2), (8, -4), (2, -10)]
[(2, -10), (12, -2), (2, -2), (8, -4)]
[(2, -2), (8, -4), (2, -10), (12, -2)]
[(8, -4), (2, -10), (12, -2), (2, -2)]
[(2, -2), (10, -4), (12, -8), (12, -4)]
[(8, 4), (8, 8), (1, 8), (1, 6)]
[(8, 8), (1, 8), (1, 6), (8, 4)]
[(2, 6), (3, 7), (1, 6), (8, 4)]
[(8, 8), (1, 8), (1, 6), (8, 6)]
[(8, 2), (6, 4), (8, 6), (1, 6)]
[(8, 2), (6, 4), (8, 16), (1, 6)]
[(2, 6), (7.5, 6.1), (8, 10), (1, 6)]
[(8, 4), (6.1, 6.9), (8, 10), (1, 6)]
[(4, 6), (8, 4), (8, 10), (1, 6)]
[(6, 4), (8, 8), (8, 10), (1, 6)]
[(8, 4), (6, 6), (8, 10), (4, 4)]
[(8, 6), (2, 2), (10, 6), (2, 8)]
[(4, 6), (2, 6), (10, 4), (2, 8)]
[(10, 10), (2, 10), (4, 8), (2, 6)]
[(10, 10), (2, 10), (10, 4), (6, 8)]
[(10, 10), (2, 10), (6, 6), (8, 6)]
[(7, 7), (1, 7), (7, 3), (5, 6)]
[(7, 7), (1, 7), (4, 6), (5, 6)]
[(7, 7), (1, 7), (3, 6), (1, 4)]
[(7, 4), (7, 7), (1, 7), (6, 6)]
[(4, 4), (7, 7), (1, 7), (3, 4)]
[(5, 5), (7, 7), (1, 7), (5, 3)]
[(0, 8), (7, 7), (-6, 12), (5, 3)]
[(6, 4), (7, 7), (-6, 12), (5, 3)]
[(4, 6), (7, 7), (-6, 12), (7, 2)]
[(6, 6), (7, 7), (-6, 12), (-4, 6)]
[(-6, 12), (6, 8), (8, 2), (8, 8)]
[(-6, 12), (2, 2), (8, 2), (8, 8)]
[(-6, 12), (8, 2), (2, 8), (8, 8)]
[(-6, 12), (2, 4), (6, 2), (8, 8)]
[(10, -4), (2, -4), (2, -6), (16, -8)]
[(6, -4), (4, -4), (2, -6), (16, -8)]
[(10, -6), (16, -2), (2, -6), (16, -8)]
[(10, -6), (2, -2), (2, -6), (16, -8)]
[(10, -6), (14, -2), (2, -6), (16, -8)]
[(14, -6), (8, -2), (2, -6), (16, -8)]
[(16, -2), (2, -6), (16, -8), (10, -6)]
[(14, -2), (2, -6), (16, -8), (10, -6)]
[(3, -4), (2, -6), (16, -8), (16, -6)]
[(8, -6), (2, -6), (12, -8), (2, -2)]
[(6, -6), (2, -6), (12, -8), (6, -2)]
[(4, -4), (2, -6), (12, -8), (8, -2)]
[(2, -6), (12, -8), (10, -2), (10, -6)]
[(2, -6), (12, -8), (12, -2), (10, -6)]
[(2, -6), (12, -8), (4, -6), (2, -2)]
[(2, -6), (12, -8), (4, -6), (12, -2)]
[(2, -6), (12, -8), (6, -6), (8, -2)]
[(17, -12), (16, -8), (-5, -5), (-10, -10)]
[(17, -12), (10, -10), (17, -5), (-10, -10)]
